Species,stage,lower size,upper size,lower age,upper age,age max,size max,relative ontogeny,liner.ontogeny,Rsq,D_MSE,HE,C,sample.size
ATF,juvenile,10,215.7575758,,,,980,0.686211034,0.115182437,0.412404754,0.328084946,0.205992509,0.260501904,3831
ATF,juvenile,215.7575758,274.5454545,,,,980,0.79881444,0.250154607,0.391673747,0.300905996,0.213483146,0.236667638,4028
ATF,adult,274.5454545,313.7373737,,,,980,0.825265665,0.3001443,0.428442947,0.294023401,0.205992509,0.233456783,4102
ATF,adult,313.7373737,343.1313131,,,,980,0.84127662,0.335137085,0.399367251,0.278751366,0.235955056,0.212978572,4293
ATF,adult,343.1313131,382.3232323,,,,980,0.855696008,0.37012987,0.366815167,0.2695246,0.247191011,0.202900542,4903
ATF,adult,382.3232323,421.5151515,,,,980,0.870592419,0.410121624,0.299690777,0.227441658,0.288389513,0.161849869,5035
ATF,adult,421.5151515,480.3030303,,,,980,0.887291339,0.460111317,0.288648288,0.213231326,0.307116105,0.147744551,5099
ATF,adult,480.3030303,980,,,,980,0.95727067,0.745052566,0.366966245,0.301690124,0.280898876,0.216945707,4942
AKP,egg,1,1,,,,720,0,0.001388889,0.515912468,0.403968691,0.175313059,0.333147704,804
AKP,larvae,1,2,,,,720,0.06162785,0.002083333,0.534588394,0.385846658,0.09562109,0.34895158,253
AKP,juvenile,50,273.3333333,,,,720,0.772965865,0.224537037,0.479325592,0.401902019,0.15018315,0.341543108,2286
AKP,juvenile,273.3333333,300.4040404,,,,720,0.860132011,0.398428732,0.405275375,0.325365253,0.183150183,0.265774547,2575
AKP,adult,300.4040404,320.7070707,,,,720,0.872190865,0.43132716,0.40389125,0.324547526,0.179487179,0.266295406,2650
AKP,adult,320.7070707,341.010101,,,,720,0.881816314,0.459525814,0.391525823,0.337424971,0.183150183,0.275625525,2714
AKP,adult,341.010101,361.3131313,,,,720,0.890868333,0.487724467,0.400590261,0.345876866,0.19047619,0.279995558,2802
AKP,adult,361.3131313,395.1515152,,,,720,0.902155645,0.525322671,0.347095969,0.296629397,0.205128205,0.235782341,2903
AKP,adult,395.1515152,442.5252525,,,,720,0.917655358,0.581719978,0.338481744,0.291416309,0.21978022,0.227368769,3005
AKP,adult,442.5252525,720,,,,720,0.967466126,0.807309203,0.223800338,0.171250428,0.256410256,0.127340062,2989
FH,egg,1,1,,,,650,0,0.001538462,0.368163723,0.249837543,0.165964617,0.208373351,1014
FH,larvae,1,2,,,,650,0.062601025,0.002307692,0.285785209,0.209828703,0.212374582,0.16526642,547
FH,juvenile,40,200.2020202,,,,650,0.739285714,0.184770785,0.412780686,0.367544372,0.208333333,0.290972628,2386
FH,juvenile,200.2020202,255.6565657,,,,650,0.838205748,0.350660451,0.474169329,0.453136385,0.177083333,0.372893484,2359
FH,adult,255.6565657,280.3030303,,,,650,0.86319831,0.412276612,0.453553624,0.425347504,0.180555556,0.348548649,2353
FH,adult,280.3030303,311.1111111,,,,650,0.878399508,0.454933955,0.462697158,0.440195922,0.1875,0.357659187,2560
FH,adult,311.1111111,335.7575758,,,,650,0.89223727,0.497591298,0.415081923,0.394354922,0.215277778,0.309459071,2616
FH,adult,335.7575758,354.2424242,,,,650,0.90220308,0.530769231,0.363600787,0.345916686,0.239583333,0.263040813,2696
FH,adult,354.2424242,391.2121212,,,,650,0.914138065,0.573426573,0.325323636,0.311990716,0.277777778,0.225326628,3043
FH,adult,391.2121212,650,,,,650,0.96572801,0.800932401,0.2494895,0.203663372,0.34375,0.133654088,2745
Pacific cod,juvenile,40,188.3838384,,,,1170,0.67063583,0.097599931,0.33409015,0.177538513,0.241042345,0.134744213,4555
Pacific cod,juvenile,188.3838384,291.1111111,,,,1170,0.775622517,0.204912372,0.209974356,0.126523269,0.328990228,0.08489835,6316
Pacific cod,adult,291.1111111,336.7676768,,,,1170,0.813785712,0.268324268,0.239463503,0.098917155,0.319218241,0.067340995,5601
Pacific cod,adult,336.7676768,382.4242424,,,,1170,0.833005208,0.307346974,0.222076912,0.105578908,0.394136808,0.063966374,6698
Pacific cod,adult,382.4242424,450.9090909,,,,1170,0.853855951,0.356125356,0.214704117,0.118249598,0.472312704,0.062398811,8160
Pacific cod,adult,450.9090909,530.8080808,,,,1170,0.877051298,0.419537253,0.179036543,0.088720987,0.550488599,0.039881095,9679
Pacific cod,adult,530.8080808,610.7070707,,,,1170,0.898397884,0.487826988,0.170257118,0.070168847,0.618892508,0.026741873,9937
Pacific cod,adult,610.7070707,1170,,,,1170,0.961337618,0.760985928,0.190630373,0.07938828,0.589576547,0.032582812,10856
Pollock,egg,1,1,,,,910,0,0.001098901,0.351748357,0.259989065,0.169204738,0.215997684,1955
Pollock,larvae,1,2,,,,910,0.059509563,0.001648352,0.404366258,0.221328663,0.222409436,0.17210308,1809
Pollock,juvenile,40,163.030303,,,,910,0.678101656,0.111555112,0.258982256,0.137456467,0.264084507,0.101156344,4758
Pollock,juvenile,163.030303,382.7272727,,,,910,0.823229369,0.2998668,0.324542327,0.190505954,0.25,0.142879466,3668
Pollock,adult,382.7272727,426.6666667,,,,910,0.881072485,0.444721945,0.206781639,0.085861484,0.235915493,0.06560543,2725
Pollock,adult,426.6666667,444.2424242,,,,910,0.89182356,0.478521479,0.184950005,0.080014852,0.257042254,0.059447654,2851
Pollock,adult,444.2424242,470.6060606,,,,910,0.899047639,0.502664003,0.241302045,0.117179036,0.253521127,0.087471675,3356
Pollock,adult,470.6060606,496.969697,,,,910,0.907271858,0.531635032,0.213198504,0.106796259,0.299295775,0.07483259,3496
Pollock,adult,496.969697,532.1212121,,,,910,0.916318289,0.565434565,0.255751326,0.175381202,0.302816901,0.12227281,4193
Pollock,adult,532.1212121,910,,,,910,0.965843795,0.792374292,0.240358105,0.179145991,0.39084507,0.109127663,5786
Barent cod,egg,,,0,0.1,15,,0.017597332,0.003333333,0.69665899,0.318060119,0.007733068,0.315600538,1125
Barent cod,larvae,,,0.1,0.2,15,,0.050408465,0.01,0.300550432,0.067675235,0.074755062,0.062616168,439
Barent cod,juvenile,,,0.2,1,15,,0.169517976,0.04,0.330295069,0.199608895,0.14796532,0.170073701,2435
Barent cod,juvenile,,,1,2,15,,0.330482024,0.1,0.304898969,0.253150508,0.213999476,0.198976432,2376
Barent cod,adult,,,2,3,15,,0.451838731,0.166666667,0.221699622,0.133574509,0.298639136,0.093683933,2133
Barent cod,adult,,,3,4,15,,0.54248125,0.233333333,0.197767187,0.124085647,0.286530631,0.088531308,2116
Barent cod,adult,,,4,5,15,,0.614857905,0.3,0.223452336,0.158784616,0.268839457,0.116097046,2071
Barent cod,adult,,,5,6,15,,0.67510993,0.366666667,0.270529584,0.206463072,0.235975616,0.157742821,2007
Barent cod,adult,,,6,7,15,,0.726722649,0.433333333,0.340727041,0.208158151,0.24761706,0.156614641,1997
Barent cod,adult,,,7,15,15,,0.896240625,0.733333333,0.325586687,0.122707045,0.312799652,0.084324324,2078
Scotian cod,larvae,,,0.1,0.2,15,,0.050408465,0.01,0.254677575,0.149160746,0.439372325,0.083623642,262
Scotian cod,juvenile,,,0.2,1,15,,0.169517976,0.04,0.139794017,0.143801905,0.221112696,0.112005478,262
Scotian cod,juvenile,,,1,2,15,,0.330482024,0.1,0.129577703,0.123140753,0.262482168,0.090818501,333
Scotian cod,adult,,,2,3,15,,0.451838731,0.166666667,0.259656331,0.259223681,0.256776034,0.192661252,480
Scotian cod,adult,,,3,4,15,,0.54248125,0.233333333,0.283502427,0.286077292,0.283880171,0.204865621,529
Scotian cod,adult,,,4,5,15,,0.614857905,0.3,0.209559526,0.21040087,0.319543509,0.143168638,540
Scotian cod,adult,,,5,6,15,,0.67510993,0.366666667,0.171159321,0.174369657,0.359486448,0.111686128,534
Scotian cod,adult,,,6,7,15,,0.726722649,0.433333333,0.153637705,0.157086531,0.356633381,0.10106423,529
Scotian cod,adult,,,7,8,15,,0.77186571,0.5,0.137014924,0.140534291,0.349500713,0.091417456,528
Scotian cod,adult,,,8,15,15,,0.910964047,0.766666667,0.178053398,0.181175023,0.310984308,0.124832434,520
Silver hake,larvae,,,0.1,0.2,15,,0.050408465,0.01,0.318643908,0.251676716,0.230769231,0.193597474,1018
Silver hake,juvenile,,,0.2,1,15,,0.169517976,0.04,0.344304583,0.278942071,0.123076923,0.244610739,372
Silver hake,juvenile,,,1,2,15,,0.330482024,0.1,0.404111652,0.389467167,0.116083916,0.344256293,556
Silver hake,adult,,,2,3,15,,0.451838731,0.166666667,0.354940131,0.334543253,0.121678322,0.293836592,586
Silver hake,adult,,,3,4,15,,0.54248125,0.233333333,0.362108048,0.3022942,0.144055944,0.258746923,572
Silver hake,adult,,,4,5,15,,0.614857905,0.3,0.318086266,0.294625082,0.165034965,0.246001642,552
Silver hake,adult,,,5,6,15,,0.67510993,0.366666667,0.395486976,0.368831491,0.177622378,0.303318765,588
Silver hake,adult,,,6,7,15,,0.726722649,0.433333333,0.281392004,0.269319474,0.177622378,0.221482308,502
Silver hake,adult,,,7,8,15,,0.77186571,0.5,0.269654363,0.266754419,0.155244755,0.225342194,484
Silver hake,adult,,,8,15,15,,0.910964047,0.766666667,0.228989577,0.220794033,0.128671329,0.192384171,430
Haddock,larvae,,,0.1,0.2,15,,0.050408465,0.01,0.22772227,0.214295441,0.262443439,0.158055009,160
Haddock,juvenile,,,0.2,1,15,,0.169517976,0.04,0.139089729,0.057595672,0.273001508,0.041871967,283
Haddock,juvenile,,,1,2,15,,0.330482024,0.1,0.182947109,0.150168444,0.200603318,0.120044156,342
Haddock,adult,,,2,3,15,,0.451838731,0.166666667,0.307313199,0.303117268,0.137254902,0.261512937,423
Haddock,adult,,,3,4,15,,0.54248125,0.233333333,0.332989823,0.324425489,0.123680241,0.284300467,446
Haddock,adult,,,4,5,15,,0.614857905,0.3,0.329408143,0.324823544,0.146304676,0.277300341,451
Haddock,adult,,,5,6,15,,0.67510993,0.366666667,0.321427449,0.316728724,0.20361991,0.25223645,450
Haddock,adult,,,6,7,15,,0.726722649,0.433333333,0.309123725,0.310915303,0.220211161,0.242448283,450
Haddock,adult,,,7,8,15,,0.77186571,0.5,0.223481799,0.224181838,0.238310709,0.170756905,430
Haddock,adult,,,8,15,15,,0.910964047,0.766666667,0.238799759,0.238808938,0.233785822,0.182978794,433
YFS,eggs,1,1,,,,700,0,0.001428571,0.590175899,0.342032564,0.00703125,0.339627648,33
YFS,larvae,1,2,,,,700,0.061892862,0.002142857,0.339375985,0.252906261,0.053125,0.239470616,603
YFS,juvenile,40,180,,,,700,0.717512246,0.157142857,0.611575485,0.562309572,0.090032154,0.51168363,2352
YFS,adult,180,213.3333333,,,,700,0.80620447,0.280952381,0.620062839,0.488584395,0.160771704,0.410033849,3624
YFS,adult,213.3333333,240,,,,700,0.827875744,0.323809524,0.57067689,0.374495839,0.205787781,0.297429171,4812
YFS,adult,240,273.3333333,,,,700,0.846849366,0.366666667,0.569258475,0.327605801,0.218649518,0.255974951,5270
YFS,adult,273.3333333,300,,,,700,0.863723205,0.40952381,0.616791951,0.315079601,0.199356913,0.252266304,5369
YFS,adult,300,313.3333333,,,,700,0.874017885,0.438095238,0.582793589,0.274038515,0.183279743,0.223812807,4920
YFS,adult,313.3333333,340,,,,700,0.883661929,0.466666667,0.650782127,0.376128384,0.196141479,0.302354006,5347
YFS,adult,340,700,,,,700,0.954625572,0.742857143,0.535024719,0.360280059,0.24437299,0.272237344,5394
