"LARVALCATCHPER10M2" "year" "lat" "lon" "doy"
"1" 186.34863 1994 53.51 -167.57829 120
"2" 7.73735 1994 55.07 -168.5817 107
"3" 0 1994 55.22 -167.26669 108
"4" 6.37841 1994 55.00833 -167.0517 108
"5" 6.9647 1994 54.88833 -167.4083 108
"6" 0 1994 54.75667 -167.78169 108
"8" 0 1994 54.325 -167.35671 109
"9" 0 2007 55.41167 -169.36533 128
"10" 0 2007 55.72917 -170.16516 130
"18" 1209.40875 2010 56.43033 -168.89867 136
"24" 0 2006 55.1365 -166.65033 132
"25" 1522.75235 2008 56.08417 -163.58566 137
"26" 2988.95732 2005 57.32784 -169.922 136
"27" 139.38432 2006 56.56167 -162.01817 137
"28" 184.78928 2006 56.58217 -161.00717 138
"30" 11.64765 2006 54.013 -166.60117 132
"31" 0 2006 54.57167 -166.6315 132
"35" 218.4515 2008 55.92517 -164.35217 139
"38" 5.6646 2009 55.369 -165.90067 135
"39" 2997.32674 2008 54.56933 -166.62633 133
"40" 170.34601 1994 54.1 -166.23171 118
"41" 12.42649 1994 54.175 -166.2867 119
"42" 0 2007 55.64883 -168.63167 128
"43" 11737.15945 2007 56.54583 -168.51849 131
"44" 133.30617 2007 55.708 -171.10417 136
"45" 8.30575 2007 55.4885 -170.89684 136
"46" 0 2007 54.231 -166.7885 138
"47" 24.93832 1994 54.525 -165.3967 118
"48" 5224.30437 1994 54.63167 -165.4967 118
"53" 0 2007 56.43217 -173.27251 135
"69" 482.92738 2012 55.9475 -164.958 139
"74" 233.95571 2012 56.682 -161.6287 143
"77" 2794.90694 2012 56.449 -167.9343 146
"78" 104.64626 2012 57.30867 -169.7748 150
"80" 204.29806 2012 55.069 -164.1228 139
"81" 0 2012 55.85266 -169.7832 148
"82" 0 2012 57.97133 -170.4365 151
"83" 2773.15018 2012 56.30067 -170.2053 149
"84" 56.62876 2012 58.06833 -171.0282 151
"85" 6164.89694 2012 55.86666 -163.374 140
"86" 77.09872 2012 56.66 -162.6413 142
