"LARVALCATCHPER10M2" "year" "lat" "lon" "doy"
"1" 47.91822 1994 53.51 -167.57829 120
"2" 649.937 1994 55.07 -168.5817 107
"3" 0 1994 55.22 -167.26669 108
"4" 19.13522 1994 55.00833 -167.0517 108
"5" 731.29402 1994 54.88833 -167.4083 108
"6" 331.09566 1994 54.75667 -167.78169 108
"8" 127.3031 1994 54.325 -167.35671 109
"9" 51.54946 2007 55.41167 -169.36533 128
"10" 59.00064 2007 55.72917 -170.16516 130
"13" 23.38833 2007 55.79016 -172.63367 135
"18" 0 2010 56.43033 -168.89867 136
"24" 13.08955 2006 55.1365 -166.65033 132
"25" 853.32982 2008 56.08417 -163.58566 137
"26" 3349.96815 2005 57.32784 -169.922 136
"27" 831.14355 2006 56.56167 -162.01817 137
"28" 1094.14703 2006 56.58217 -161.00717 138
"30" 5.82382 2006 54.013 -166.60117 132
"31" 131.22292 2006 54.57167 -166.6315 132
"35" 29.52047 2008 55.92517 -164.35217 139
"38" 0 2009 55.369 -165.90067 135
"39" 27.65062 2008 54.56933 -166.62633 133
"40" 189.27335 1994 54.1 -166.23171 118
"41" 534.33891 1994 54.175 -166.2867 119
"42" 8.46326 2007 55.64883 -168.63167 128
"43" 17.43142 2007 56.54583 -168.51849 131
"44" 97.75786 2007 55.708 -171.10417 136
"45" 24.91726 2007 55.4885 -170.89684 136
"46" 20.1629 2007 54.231 -166.7885 138
"47" 2450.19043 1994 54.525 -165.3967 118
"48" 587.61079 1994 54.63167 -165.4967 118
"53" 0 2007 56.43217 -173.27251 135
"69" 4.87805 2012 55.9475 -164.958 139
"74" 14.62223 2012 56.682 -161.6287 143
"77" 652.27136 2012 56.449 -167.9343 146
"78" 52.32313 2012 57.30867 -169.7748 150
"80" 18.85828 2012 55.069 -164.1228 139
"81" 5.0407 2012 55.85266 -169.7832 148
"82" 3.43804 2012 57.97133 -170.4365 151
"83" 642.29457 2012 56.30067 -170.2053 149
"84" 0 2012 58.06833 -171.0282 151
"85" 1317.9263 2012 55.86666 -163.374 140
"86" 25.69957 2012 56.66 -162.6413 142
"87" 37.24872 2012 56.22333 -162.1983 142
"88" 0 2012 57.98466 -169.4705 147
"89" 23.09609 2012 57.86783 -169.8418 147
"91" 845.03345 2012 57.71217 -172.1202 152
"92" 2209.48127 2014 56.9495 -170.8672 154
"93" 209.5689 2014 56.6027 -165.5917 148
"94" 659.29503 2014 57.0453 -166.0402 149
"95" 229.61191 2014 58.0395 -169.6802 131
"96" 4009.96485 2014 57.2282 -170.022 154
"97" 3695.13911 2014 57.3283 -168.7978 153
"98" 0 2014 54.4388 -164.9883 127
"103" 355.59495 2005 56.92433 -159.83949 133
"104" 2129.5973 2005 57.04117 -160.45117 134
"105" 2349.82166 2005 56.4655 -161.4155 134
"106" 7.79038 2005 55.87083 -163.3725 136
"109" 57.51837 2005 55.48617 -165.52049 138
"121" 5586.69239 1993 54.32833 -166.48669 119
"122" 7199.62798 1993 54.35833 -166.4083 119
"123" 175.78598 1993 54.10833 -166.28 120
"124" 1104.85188 1993 54.045 -166.46831 120
"125" 0 1993 55.34667 -166.88001 107
"126" 24.78967 1993 54.95 -168.93829 109
"127" 16.22207 1993 53.88 -167.895 110
"128" 3059.11962 1993 54.39833 -168.9083 111
"129" 1475.80908 1993 54.88 -167.895 112
"130" 1591.44993 1993 54.26333 -165.82671 106
"147" 85321.60172 1988 54.18333 -168.395 92
"149" 0 1999 56.18083 -164.1872 104
"150" 0 1999 55.72633 -164.7475 105
"153" 4.88468 1999 57.0175 -164.21401 108
"154" 0 1999 55.96233 -163.97321 104
"182" 37.08924 1995 55.4035 -163.9382 133
"183" 183.8451 1995 55.643 -163.15649 134
"184" 0 1995 57.18033 -164.67171 126
"185" 215.95774 1995 56.34833 -167.338 126
